Player,Draft_Year,Draft_Pick,VORP
Earl Watson,2001,39,1
Jamison Brewer,2001,40,-20
Bobby Simmons,2001,41,5.4
Eric Chenowith,2001,42,-20
Kyle Hill,2001,43,-20
Sean Lampley,2001,44,-20
Loren Woods,2001,45,-0.6
Ousmane Cisse,2001,46,-20
Antonis Fotsis,2001,47,-20
Ken Johnson,2001,48,-20
Ruben Boumtje-Boumtje,2001,49,-20
Alton Ford,2001,50,-20
Andre Hutson,2001,51,-20
Jarron Collins,2001,52,0.5
Kenny Satterfield,2001,53,-1.1
Maurice Jeffers,2001,54,-20
Robertas Javtokas,2001,55,-20
Alvin Jones,2001,56,-20
Bryan Bracey,2001,57,-20
Yao Ming,2002,1,17
Jay Williams,2002,2,-0.1
Mike Dunleavy,2002,3,15.9
Drew Gooden,2002,4,2.3
Nikoloz Tskitishvili,2002,5,-2.1
Dajuan Wagner,2002,6,-2
Nene Hilario,2002,7,23.4
Chris Wilcox,2002,8,1.2
Amar'e Stoudemire,2002,9,16.8
Caron Butler,2002,10,15.9
Jared Jeffries,2002,11,3.8
Melvin Ely,2002,12,-2.4
Marcus Haislip,2002,13,-20
Fred Jones,2002,14,2.8
Bostjan Nachbar,2002,15,-0.4
Jiri Welsch,2002,16,-0.1
Juan Dixon,2002,17,-2.1
Curtis Borchardt,2002,18,-0.1
Ryan Humphrey,2002,19,-20
Kareem Rush,2002,20,-3.2
Qyntel Woods,2002,21,-0.5
Casey Jacobsen,2002,22,-0.4
Tayshaun Prince,2002,23,16.6
Nenad Krstic,2002,24,-1.5
Frank Williams,2002,25,-20
John Salmons,2002,26,5.8
Chris Jefferies,2002,27,-20
Dan Dickau,2002,28,-0.4
Steve Logan,2002,29,-20
Roger Mason,2002,30,0.5
Robert Archibald,2002,31,-20
Vincent Yarbrough,2002,32,-0.1
Dan Gadzuric,2002,33,1.3
Carlos Boozer,2002,34,22.1
Milos Vujanic,2002,35,-20
David Andersen,2002,36,-0.7
Tito Maddox,2002,37,-20
Rod Grizzard,2002,38,-20
Juan Carlos Navarro,2002,39,-0.1
Mario Kasun,2002,40,-20
Ronald Murray,2002,41,-2.6
Jason Jennings,2002,42,-20
Lonny Baxter,2002,43,-1.5
Sam Clancy,2002,44,-20
Matt Barnes,2002,45,16.1
Jamal Sampson,2002,46,-20
Chris Owens,2002,47,-20
Peter Fehse,2002,48,-20
Darius Songaila,2002,49,0.7
Federico Kammerichs,2002,50,-20
Marcus Taylor,2002,51,-20
Rasual Butler,2002,52,-0.4
Tamar Slay,2002,53,-20
Mladen Sekularac,2002,54,-20
Luis Scola,2002,55,7.2
Randy Holcomb,2002,56,-20
Corsley Edwards,2002,57,-20
LeBron James,2003,1,108.6
Darko Milicic,2003,2,0.8
Carmelo Anthony,2003,3,28.6
Chris Bosh,2003,4,27.5
Dwyane Wade,2003,5,56.4
Chris Kaman,2003,6,0
Kirk Hinrich,2003,7,14.7
T.J. Ford,2003,8,3.6
Mike Sweetney,2003,9,-0.1
Jarvis Hayes,2003,10,-2.2
Mickael Pietrus,2003,11,3.4
Nick Collison,2003,12,11.4
Marcus Banks,2003,13,-0.6
Luke Ridnour,2003,14,5.8
Reece Gaines,2003,15,-20
Troy Bell,2003,16,-20
Zarko Cabarkapa,2003,17,-1.3
David West,2003,18,23.6
Sasha Pavlovic,2003,19,-3.2
Dahntay Jones,2003,20,-4.1
Boris Diaw,2003,21,19.8
Zoran Planinic,2003,22,-0.9
