Date,Mobile Operating System,Percent of Usage
2/1/11,webOS,0.21
2/1/11,WinXP,0
2/1/11,Brew,0
2/1/11,Motorola,0
2/1/11,Win7,0
2/1/11,MeeGo,0
2/1/11,Maemo 5,0.12
2/1/11,WinVista,0
2/1/11,Other,0.07
3/1/11,Android,15.8
3/1/11,iOS,24.38
3/1/11,SymbianOS,30.61
3/1/11,Series 40,0
3/1/11,BlackBerry OS,14.1
3/1/11,Samsung,4.73
3/1/11,Unknown,5.1
3/1/11,Windows Phone,0.28
3/1/11,Sony Ericsson,3.75
3/1/11,Linux,0
3/1/11,bada,0
3/1/11,Nokia Unknown,0
3/1/11,LG,0.11
3/1/11,Playstation,0.32
3/1/11,WinCE,0.32
3/1/11,Nintendo 3DS,0
3/1/11,Nintendo,0.14
3/1/11,webOS,0.19
3/1/11,WinXP,0
3/1/11,Brew,0
3/1/11,Motorola,0
3/1/11,Win7,0
3/1/11,MeeGo,0
3/1/11,Maemo 5,0.11
3/1/11,WinVista,0
3/1/11,Other,0.07
4/1/11,Android,16.05
4/1/11,iOS,23.34
4/1/11,SymbianOS,31.56
4/1/11,Series 40,0
4/1/11,BlackBerry OS,13.54
4/1/11,Samsung,4.99
4/1/11,Unknown,5.28
4/1/11,Windows Phone,0.29
4/1/11,Sony Ericsson,3.66
4/1/11,Linux,0
4/1/11,bada,0.12
4/1/11,Nokia Unknown,0
4/1/11,LG,0.1
4/1/11,Playstation,0.31
4/1/11,WinCE,0.29
4/1/11,Nintendo 3DS,0
4/1/11,Nintendo,0.13
4/1/11,webOS,0.16
4/1/11,WinXP,0
4/1/11,Brew,0
4/1/11,Motorola,0
4/1/11,Win7,0
4/1/11,MeeGo,0
4/1/11,Maemo 5,0.1
4/1/11,WinVista,0
4/1/11,Other,0.06
5/1/11,Android,17.63
5/1/11,iOS,22.09
5/1/11,SymbianOS,31.36
5/1/11,Series 40,0
5/1/11,BlackBerry OS,12.94
5/1/11,Samsung,5.08
5/1/11,Unknown,5.77
5/1/11,Windows Phone,0.28
5/1/11,Sony Ericsson,3.46
5/1/11,Linux,0
5/1/11,bada,0.37
5/1/11,Nokia Unknown,0
5/1/11,LG,0.1
5/1/11,Playstation,0.28
5/1/11,WinCE,0.26
5/1/11,Nintendo 3DS,0
5/1/11,Nintendo,0.11
5/1/11,webOS,0.13
5/1/11,WinXP,0
5/1/11,Brew,0
5/1/11,Motorola,0
5/1/11,Win7,0
5/1/11,MeeGo,0
5/1/11,Maemo 5,0.09
5/1/11,WinVista,0
5/1/11,Other,0.06
6/1/11,Android,17.92
6/1/11,iOS,20.04
6/1/11,SymbianOS,33.58
6/1/11,Series 40,0
6/1/11,BlackBerry OS,12.15
6/1/11,Samsung,5.64
6/1/11,Unknown,5.91
6/1/11,Windows Phone,0.26
6/1/11,Sony Ericsson,3.19
6/1/11,Linux,0
6/1/11,bada,0.39
6/1/11,Nokia Unknown,0
6/1/11,LG,0.1
6/1/11,Playstation,0.26
6/1/11,WinCE,0.23
6/1/11,Nintendo 3DS,0
6/1/11,Nintendo,0.1
6/1/11,webOS,0.11
6/1/11,WinXP,0
6/1/11,Brew,0
6/1/11,Motorola,0
6/1/11,Win7,0
6/1/11,MeeGo,0
6/1/11,Maemo 5,0.07
6/1/11,WinVista,0
6/1/11,Other,0.05
7/1/11,Android,18.93
7/1/11,iOS,20.03
7/1/11,SymbianOS,32.45
7/1/11,Series 40,0
7/1/11,BlackBerry OS,12.48
7/1/11,Samsung,5.76
7/1/11,Unknown,5.88
7/1/11,Windows Phone,0.27
7/1/11,Sony Ericsson,2.97
7/1/11,Linux,0
7/1/11,bada,0.39
7/1/11,Nokia Unknown,0
7/1/11,LG,0.09
7/1/11,Playstation,0.24
7/1/11,WinCE,0.21
7/1/11,Nintendo 3DS,0
7/1/11,Nintendo,0.1
7/1/11,webOS,0.09
7/1/11,WinXP,0
7/1/11,Brew,0
7/1/11,Motorola,0
7/1/11,Win7,0
7/1/11,MeeGo,0
7/1/11,Maemo 5,0.06
7/1/11,WinVista,0
7/1/11,Other,0.05
8/1/11,Android,20.6
8/1/11,iOS,19.41
8/1/11,SymbianOS,32.12
8/1/11,Series 40,0
8/1/11,BlackBerry OS,11.84
8/1/11,Samsung,6.04
8/1/11,Unknown,5.72
8/1/11,Windows Phone,0.29
8/1/11,Sony Ericsson,2.7
8/1/11,Linux,0
8/1/11,bada,0.45
8/1/11,Nokia Unknown,0
8/1/11,LG,0.09
8/1/11,Playstation,0.26
8/1/11,WinCE,0.21
8/1/11,Nintendo 3DS,0
8/1/11,Nintendo,0.09
8/1/11,webOS,0.08
8/1/11,WinXP,0
8/1/11,Brew,0
8/1/11,Motorola,0
8/1/11,Win7,0
8/1/11,MeeGo,0
8/1/11,Maemo 5,0.06
8/1/11,WinVista,0
8/1/11,Other,0.04
9/1/11,Android,20.9
9/1/11,iOS,21.21
9/1/11,SymbianOS,31.83
9/1/11,Series 40,0
9/1/11,BlackBerry OS,10.72
9/1/11,Samsung,5.6
9/1/11,Unknown,5.9
9/1/11,Windows Phone,0.33
9/1/11,Sony Ericsson,2.26
9/1/11,Linux,0
9/1/11,bada,0.47
9/1/11,Nokia Unknown,0
9/1/11,LG,0.08
9/1/11,Playstation,0.25
9/1/11,WinCE,0.18
9/1/11,Nintendo 3DS,0
9/1/11,Nintendo,0.09
9/1/11,webOS,0.08
9/1/11,WinXP,0
9/1/11,Brew,0
9/1/11,Motorola,0
9/1/11,Win7,0
9/1/11,MeeGo,0
9/1/11,Maemo 5,0.06
9/1/11,WinVista,0
9/1/11,Other,0.03
10/1/11,Android,22.11
10/1/11,iOS,23.48
10/1/11,SymbianOS,29.84
10/1/11,Series 40,0
10/1/11,BlackBerry OS,9.49
10/1/11,Samsung,5.22
10/1/11,Unknown,6.01
10/1/11,Windows Phone,0.37
10/1/11,Sony Ericsson,2.04
10/1/11,Linux,0.07
10/1/11,bada,0.48
10/1/11,Nokia Unknown,0
10/1/11,LG,0.08
10/1/11,Playstation,0.29
10/1/11,WinCE,0.17
10/1/11,Nintendo 3DS,0
10/1/11,Nintendo,0.11
10/1/11,webOS,0.08
10/1/11,WinXP,0
10/1/11,Brew,0
10/1/11,Motorola,0.05
10/1/11,Win7,0.05
10/1/11,MeeGo,0
10/1/11,Maemo 5,0.05
10/1/11,WinVista,0
10/1/11,Other,0.03
11/1/11,Android,21.9
11/1/11,iOS,24.21
11/1/11,SymbianOS,30.95
11/1/11,Series 40,0
11/1/11,BlackBerry OS,8.44
11/1/11,Samsung,5.43
11/1/11,Unknown,5.29
11/1/11,Windows Phone,0.36
11/1/11,Sony Ericsson,1.93
11/1/11,Linux,0.1
11/1/11,bada,0.51
11/1/11,Nokia Unknown,0
11/1/11,LG,0.08
11/1/11,Playstation,0.27
11/1/11,WinCE,0.15
11/1/11,Nintendo 3DS,0
11/1/11,Nintendo,0.1
11/1/11,webOS,0.07
11/1/11,WinXP,0
11/1/11,Brew,0
11/1/11,Motorola,0.06
11/1/11,Win7,0.07
11/1/11,MeeGo,0.01
11/1/11,Maemo 5,0.05
11/1/11,WinVista,0
11/1/11,Other,0.03
12/1/11,Android,21.83
12/1/11,iOS,22.71
12/1/11,SymbianOS,33.46
12/1/11,Series 40,0
12/1/11,BlackBerry OS,7.78
12/1/11,Samsung,5.61
12/1/11,Unknown,4.76
12/1/11,Windows Phone,0.34
12/1/11,Sony Ericsson,2
12/1/11,Linux,0.1
12/1/11,bada,0.5
12/1/11,Nokia Unknown,0
12/1/11,LG,0.08
12/1/11,Playstation,0.27
12/1/11,WinCE,0.14
12/1/11,Nintendo 3DS,0.06
12/1/11,Nintendo,0.09
12/1/11,webOS,0.05
12/1/11,WinXP,0
12/1/11,Brew,0
12/1/11,Motorola,0.05
